Template;Screen Name;Stance;SCM Shop;LoA;Equipment Type;World Level;Excluded;Item Set;Item Type;Rarity;Material;TN Stance;Req. Stat;Icon;Variants
bd_ch_f_g_c_avg;Thick Chain;Fighter;v_f_bd_n;;armor;;;;bd;;ch;f;str;b_gui_ig_i_a_pos_a4_004;base, c_fin, c_str, o_fin
bd_ch_f_g_c_fun;Rusty Chain;Fighter;v_f_bd_n;;armor;;;;bd;;ch;f;str;b_gui_ig_i_a_pos_a4_010;base
bd_ch_f_g_c_low;Stiff Chain;Fighter;v_f_bd_n;;armor;;;;bd;;ch;f;str;b_gui_ig_i_a_pos_a3_008;base
bd_ch_m_g_c_avg;Thin Chain;Mage;v_m_bd_n;;armor;;;;bd;;ch;m;str;b_gui_ig_i_a_pos_a1_022;base, c_fin, c_mag, c_str, o_avg, o_fin, o_mag, o_str
bd_ch_r_g_c_avg;Chain Mail;Ranger;v_r_bd_n;;armor;;;;bd;;ch;r;str;b_gui_ig_i_a_pos_a2_029;base, c_fin, c_mag, c_str, o_avg, o_fin, o_mag, o_str
bd_ch_r_g_c_fun;Tarnished Chain Mail;Ranger;v_r_bd_n;;armor;;;;bd;;ch;r;str;b_gui_ig_i_a_pos_a2_017;base
bd_ra_ch_m_g_c_fin;Solar Chain;Mage;v_m_bd_s;;armor;;;;bd;rare;ch;m;str;b_gui_ig_i_a_pos_a2_064;base, o_avg, o_fin
bd_ra_ch_r_g_o_fin;Dragon Weave;Ranger;v_r_amr_s;;armor;;;;bd;rare;ch;r;str;b_gui_ig_i_a_pos_a2_062;base, c_str, o_mag
bd_ra_sc_f_g_o_mag;Blood Scale;Fighter;v_f_bd_s;;armor;;;;bd;rare;sc;f;str;b_gui_ig_i_a_pos_a4_013;base
bd_ra_sc_m_g_c_fin;Shadow Scale;Mage;v_m_bd_s;;armor;;;;bd;rare;sc;m;str;b_gui_ig_i_a_pos_a2_061;base, c_mag, o_fin
bd_ra_sc_r_g_c_fin;Noble Scale;Ranger;v_r_amr_s;;armor;;;;bd;rare;sc;r;str;b_gui_ig_i_a_pos_a4_011;base, c_str
bd_sc_f_g_c_avg;Thick Scale;Fighter;v_f_bd_n;;armor;;;;bd;;sc;f;str;b_gui_ig_i_a_pos_a3_025;base, c_str, o_fin, o_mag, o_str
