Template;Variant;SCM Shop;Rarity;Excluded;Screen Name;Stance;LoA;Equipment Type;Item Set;Item Type;Req. Stat;ModMin;ModMax
bd_ch_f_g_c_avg;base;v_f_bd_n;;;Thick Chain;Fighter;;armor;;bd;str;0;0
bd_ch_f_g_c_avg;c_fin;v_f_bd_n;;;Thick Chain;Fighter;;armor;;bd;str;1;6
bd_ch_f_g_c_avg;c_str;v_f_bd_n;;;Thick Chain;Fighter;;armor;;bd;str;9;17
bd_ch_f_g_c_avg;o_fin;v_f_bd_n;;;Thick Chain;Fighter;;armor;;bd;str;7;14
bd_ch_f_g_c_fun;base;v_f_bd_n;;;Rusty Chain;Fighter;;armor;;bd;str;0;0
bd_ch_f_g_c_low;base;v_f_bd_n;;;Stiff Chain;Fighter;;armor;;bd;str;0;0
bd_ch_m_g_c_avg;base;v_m_bd_n;;;Thin Chain;Mage;;armor;;bd;str;0;4
bd_ch_m_g_c_avg;c_fin;v_m_bd_n;;;Thin Chain;Mage;;armor;;bd;str;2;10
bd_ch_m_g_c_avg;c_mag;v_m_bd_n;;;Thin Chain;Mage;;armor;;bd;str;35;50
bd_ch_m_g_c_avg;c_str;v_m_bd_n;;;Thin Chain;Mage;;armor;;bd;str;20;36
bd_ch_m_g_c_avg;o_avg;v_m_bd_n;;;Thin Chain;Mage;;armor;;bd;str;8;20
bd_ch_m_g_c_avg;o_fin;v_m_bd_n;;;Thin Chain;Mage;;armor;;bd;str;13;28
bd_ch_m_g_c_avg;o_mag;v_m_bd_n;;;Thin Chain;Mage;;armor;;bd;str;43;59
bd_ch_m_g_c_avg;o_str;v_m_bd_n;;;Thin Chain;Mage;;armor;;bd;str;29;43
bd_ch_r_g_c_avg;base;v_r_bd_n;;;Chain Mail;Ranger;;armor;;bd;str;0;3
bd_ch_r_g_c_avg;c_fin;v_r_bd_n;;;Chain Mail;Ranger;;armor;;bd;str;2;9
bd_ch_r_g_c_avg;c_mag;v_r_bd_n;;;Chain Mail;Ranger;;armor;;bd;str;27;38
bd_ch_r_g_c_avg;c_str;v_r_bd_n;;;Chain Mail;Ranger;;armor;;bd;str;15;27
bd_ch_r_g_c_avg;o_avg;v_r_bd_n;;;Chain Mail;Ranger;;armor;;bd;str;6;14
bd_ch_r_g_c_avg;o_fin;v_r_bd_n;;;Chain Mail;Ranger;;armor;;bd;str;10;21
bd_ch_r_g_c_avg;o_mag;v_r_bd_n;;;Chain Mail;Ranger;;armor;;bd;str;33;46
